Video,Video title,Video publish time,Comments added,Subscribers gained,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
QVpXp1ft_YM,¡PETER LA ANGUILA NO ESTÁ MUERTO!  FT. PETER LA ANGUILA,"Nov 15, 2021",28,10,3938,566.506,9,45652,6.29
UG21juajxHE,¿LIDIAR CON GENTE INTERESADA?,"Aug 5, 2021",27,16,4032,814.56,15,62675,4.89
mNZGznrnXy0,¡LOS DICHOS Y REFRANES MÁS WTF!,"Feb 24, 2022",27,11,2872,620.4082,11,28929,7.34
muvWIBnYXKQ,"¡EL PODER DE LAS REDES SOCIALES! (DEMI LOVATO, METOO, GOFUNDME)","May 3, 2021",27,23,5155,1347.8893,19,84981,4.15
O3aKiy2k5LY,CLOSE FRIENDS DE INSTAGRAM Y SU SIGNIFICADO 😂🔥,"Nov 25, 2021",26,7,4495,965.5563,4,41268,8.08
PMK1CjGiYaE,¡LOS SECRETOS DE LAS COMPRAS ONLINE!,"Aug 19, 2021",26,11,3905,1113.0199,11,52801,5.29
2tdKKR2vMmQ,¡LA VERDAD DE LOS A3US0S EN EL EQUIPO DE GIMNASIA DE USA!,"Sep 2, 2021",25,7,3136,728.2558,6,51370,4.44
Kl4z59IzHPc,¡HABLEMOS DE GENTE IMPRUDENTE! 😂,"Sep 20, 2021",25,10,4649,1039.3003,10,53447,6.52
RXQrt30XNZM,¡UN JUEGO DEL CALAMAR CON DEMBOW!,"Oct 7, 2021",25,8,4063,977.9099,4,55568,5.41
dL_VQB0rh_o,¡SALVAR AL MUNDO ANTES DE QUE SE J0D4!,"Nov 4, 2021",25,2,3242,883.5092,1,45002,5.04
nmHs-SAcGZo,¿QUÉ HACER ANTE UN MAL SERVICIO AL CLIENTE?,"Oct 28, 2021",25,2,3873,1038.8882,0,59194,4.81
rQpDK4muyAw,¿ENTRARÍAMOS A UN CULTO O SECTA?,"May 10, 2021",25,9,4512,896.0657,6,65361,5.15
07OyWnrq_W0,AMIGOS INTERESADOS + EL CASO DE ANNA DELVEY,"Mar 10, 2022",24,8,3650,1211.4987,8,39731,6.27
L3rYXer1Yf8,¡TEORÍAS DE NICKELODEON QUE TE VOLARÁN LA CABEZA!,"Feb 7, 2022",24,23,4699,1204.1208,23,42181,7.69
Ub1DDtNqL94,¡EL FAMOSO CÓDIGO ENTRE CHICAS!,"Dec 9, 2021",24,21,5580,1371.3783,20,59807,6.71
P5l6qs28TaE,¡COSAS QUE NOS IRRITAN LA PACIENCIA!,"Apr 7, 2022",23,5,2798,800.5134,4,26502,7.74
PvV0smQIHx8,¿CÓMO HUIR DEL MAL DE OJO Y MALAS VIBRAS?,"Apr 11, 2022",23,14,3130,1002.7206,12,32918,6.85
v2mFsaE4gjc,¿SOMOS O NO SOMOS? ETAPAS DE UNA RELACIÓN 🔥,"Apr 21, 2022",23,21,3462,849.8267,18,30738,8.83
A2Dgm7wEBks,"SOBRE EL DERRUMBE DEL CONDOMINIO EN MIAMI, FLORIDA","Jul 1, 2021",22,11,3632,736.0324,10,59717,4.58
IHEvpSGgNuY,¿CÓMO LIDIAR CON LA F#?K1NG ANSIEDAD?,"Feb 10, 2022",22,9,3736,1056.6814,8,48451,5.47
mvNqC0IXtLo,¿CÓMO OCURRIÓ LA TRAGEDIA DEL VUELO MH370?,"Feb 3, 2022",22,3,2741,730.8546,1,39587,4.85
oE_1LkK1CxM,¿CÓMO PLANIFICAR UN VIAJE GRUPAL? 😂,"Sep 30, 2021",22,9,3825,993.9759,5,49673,5.62
obKZ1UIN300,¿EN QUÉ PIENSAS MINUTOS ANTES DE DORMIR?,"Jan 24, 2022",22,9,4227,1151.6158,8,40621,7.42
obkiKhETMPo,¿CÓMO LIDIAR CON UN PROBLEMA EXISTENCIAL?,"Feb 28, 2022",22,5,3249,825.0678,3,44233,5.32
z4jf6VX0sCg,"MOMENTOS INCÓMODOS, VESTIMENTA LABORAL Y LOS PEOS EN LA OFICINA","May 13, 2021",22,15,4152,701.7435,13,63701,4.92
Kn6JEDIgKcI,¿IR A UN PARQUE TEMÁTICO ES REALMENTE DIVERTIDO?,"Sep 9, 2021",21,9,3729,850.234,9,58007,4.6
jH-wDD-44Bs,"¡HAY QUE CUIDARSE EN LAS APPS DE CITAS! ""THE TINDER SWINDLER""","Feb 14, 2022",21,12,4378,1552.9611,11,47871,6.15
4uHljy8V-H0,¡DATOS QUE TAL VEZ NO SABÍAS DE HARRY POTTER!,"Feb 21, 2022",20,5,2348,639.6425,3,29182,5.52
BJ4FFefiFQA,¡MUERTES QUE HAN TRASCENDIDO EN LA HISTORIA!,"Dec 6, 2021",20,3,3014,716.9346,0,35172,5.96
R-9kKFqbxik,EL MANUAL DE VIAJERO FREQUENTE FT. @FOGONIX,"Apr 4, 2022",20,7,2468,821.5906,7,28085,6.23
l9oWvXWrOSk,¿CÓMO UNA MASCOTA TE CAMBIA LA VIDA?,"Aug 26, 2021",20,7,3757,1044.9626,1,55647,4.78
P2SH_0LRDgM,LAS INJUSTICIAS: ¿POR UNO PAGAMOS TODOS?,"Mar 21, 2022",19,11,2699,662.5093,6,32967,5.91
Xr89E7hkDtM,¡LAS REGLAS ESTÁN PARA ROMPERSE!,"Nov 29, 2021",19,3,3848,1030.6281,0,47425,5.86
t_KQk0xaz_0,¡MUJERES QUE MARCAN TENDENCIA!,"Mar 17, 2022",19,2,2839,656.5968,2,29503,6.81
10JmJF2JIZk,MANUAL DE CÓMO SER UNA TÓXICA 😂 - #TÓXICA101,"Dec 16, 2021",18,8,4497,1189.4954,7,47117,6.57
I84Jskexpq8,¡NUESTRA OPINIÓN SOBRE LOS JUEGOS OLÍMPICOS!,"Aug 12, 2021",18,11,2933,602.9517,9,51494,4.25
RyaSbDWZ0cM,¡EL FUROR DE LAS BOY BANDS!,"Oct 21, 2021",18,2,2500,484.2001,-2,36014,5
lahkivR0rAs,¿JUSTICIA INJUSTA? | EL CASO AGUILERA-MEDEROS,"Dec 23, 2021",18,2,2154,483.2779,0,26300,5.63
NCNTQfxo20s,NO ESTÁS LISTO PARA ESTA CONVERSACIÓN ft. CHRIS ANDRADE,"Jan 11, 2021",17,403,14204,2972.6209,388,203237,4.57
PTtBfE_Jv4g,¡AÑO NUEVO... RESOLUCIONES NUEVAS! #2020two,"Jan 3, 2022",17,2,2799,657.6489,2,33373,6.04
VGmUCojGQAE,¿CÓMO ES TRABAJAR CON TU PAREJA? 🤪,"Apr 25, 2022",17,2,2220,766.4766,1,29413,5.52
0WmIfj5fze0,¿CÓMO IRME A ESTUDIAR EN ESTADOS UNIDOS?,"Jan 17, 2022",16,5,3524,1102.5019,3,41362,5.94
9F3HJPwUf4o,¡HECHOS QUE CAMBIARON AL MUNDO!,"Oct 18, 2021",16,4,4099,1186.8239,3,49491,5.7
WsYXSYN74IE,¡EL MARKETING ENGAÑOSO Y EL SPAM ESTAFADOR!,"Dec 13, 2021",16,1,2638,625.9341,1,34593,5.58
_DuUNOHHJ0s,¡EL ARTE DE REGALAR EN NAVIDAD! 😂,"Dec 20, 2021",16,4,3332,898.0771,3,35461,6.42
vcpCJwtib-k,¡LOS PLACERES NO S3XUAL3S!,"Sep 16, 2021",16,11,4340,964.3861,4,55132,5.84
